objectid,NTA,Neighborhood,Borough,Postcode,Restaurant Name,Business Address,Bulding Number,Street,globalid,Seating Interest (Sidewalk/Roadway/Both),Legal Business Name,Doing Business As (DBA),Food Service Establishment Permit #,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,SLA Serial Number,SLA License Type,Landmark District or Building,landmarkDistrict_terms,healthCompliance_terms,Time of Submission,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,Zip Code,Neighborhood 2
42,,,Staten Island,10307,mangia,"7517 -19 amboy roaf, Staten Island, NY",7517 -19,amboy roaf,78afc7a0-6b0e-4627-800e-970d3beb3c69,sidewalk,pgj food inc.,pgj food inc.,50099264,34,7,238,,,,yes,no,yes,1323684,OP,no,,yes,6/19/2020,,,,,,,,,
360,,,Staten Island,10310,Dolce Fantasia,"1210  Llewellyn, Staten Island, NY",1210,Llewellyn,b2b6036d-4cff-4672-8252-30787a7c9374,both,Dolce Fantasia LLC,Dolce Fantasia LLC,50086569,16,50,800,20,8,160,yes,yes,no,,,no,,yes,6/19/2020,,,,,,,,,
730,,,Staten Island,10314,Jimmy Max,"280 280 Watchogue Rd, Staten Island, NY",280,280 Watchogue Rd,57aa2844-23cc-4a43-8bd0-501f5ff0080f,sidewalk,Cafe Di Sicilia INC,Jimmy Max,40387243,60,2,120,,,,yes,no,yes,913934,OP,no,,yes,6/19/2020,,,,,,,,,
1015,,,Staten Island,10306,Zara Cafe Grill,"1995 Hylan, Staten Island, NY",1995,Hylan,6ecaf578-de2c-42f8-8b8a-9ba271ab36f7,both,1995 Hylan Restaurant Corp,1995 Hylan Restaurant Corp,50070120,55,15,825,45,8,360,yes,yes,yes,1314151,RW,no,,yes,6/19/2020,,,,,,,,,
1146,,,Staten Island,10301,Flour and Oak,"12 Minthorne, Staten Island, NY",12,Minthorne,96fa06de-88f4-47f1-8bf3-41e347e1dc1f,both,Pizza Project LLC,Flour and Oak,50090515,25,10,250,25,8,200,yes,yes,yes,B0889564,OP,no,,yes,6/19/2020,,,,,,,,,
1315,,,Staten Island,10301,DaddyO’s bbq,"2 Minthorne , Staten Island, NY",2,Minthorne,365859f2-18d1-49b2-8059-7add65a3c972,both,DaddyO’s on bay inc,DaddyO’s on bay inc,50064474,8,50,400,8,50,400,yes,yes,no,,,no,,yes,6/19/2020,,,,,,,,,
1709,,,Staten Island,10306,CornerHouse BBQ,"100 Lincoln , Staten Island, NY",100,Lincoln,db89f93c-4170-47fe-8629-0ea55723338b,sidewalk,CornerHouse BBQ LLC,CornerHouse BBQ LLC,50076181,20,9,180,,,,yes,no,yes,1308881,OP,no,,yes,6/19/2020,,,,,,,,,
2271,,,Staten Island,10306,Lastrada restaurant,"139/ 143/ New Dorp lane, Staten Island, NY",139/ 143/,New Dorp lane,{919075b3-32a5-4b9a-88d4-8710217843d4},both,Duet inc.,Lastrada restaurant,40391857,40,15,600,40,15,600,yes,yes,yes,1043130,OP,no,,yes,6/20/2020,,,,,,,,,
2865,,,Staten Island,10305,Bocelli,"10 A Hylan Bkvd, Staten Island, NY",1899-12-31T10:00:00.000,Hylan Bkvd,{b972023d-4520-42ec-85c0-1158289bc172},sidewalk,Bocelli Ristorante,Bocelli Ristorante,50047645,15,25,375,,,,yes,no,yes,1289271,OP,no,,yes,6/21/2020,,,,,,,,,
2919,,,Staten Island,10314,Le roi lounge,"10 AKron , Staten Island, NY",1900-01-10T00:00:00.000,AKron,{dfbce8c7-2e06-40c6-8065-0dca14665c29},both,Gashwa inc,Le roi lounge,50002463,30,15,450,30,15,450,yes,yes,yes,1294157,OP,yes,yes,yes,6/21/2020,,,,,,,,,
4283,,,Staten Island,10306,FRUTAS LOCAS MARY CORP,"48 NEW DOLP PLZ S, Staten Island, NY",48,NEW DOLP PLZ S,{3353582D-E084-4BA4-8609-CDCBD805E81D},both,FRUTAS LOCAS MARY CORP,FRUTAS LOCAS MARY CORP,50104488,18,20,360,18,8,144,yes,yes,no,,,no,,yes,6/23/2020,,,,,,,,,
4883,,,Staten Island,10310,NURNBERGER BIERHAUS,"817 817 castleton ave, , Staten Island, NY",1902-03-27T00:00:00.000,"817 castleton ave,",{97451C60-2D0B-41A6-895B-F4662B4969A3},both,NURNBERGER CORP,NURNBERGER BIERHAUS,41123415,25,12,300,25,8,200,yes,yes,yes,1170313,OP,no,,yes,6/24/2020,,,,,,,,,
4893,,,Staten Island,10307,Don Cesar restaurant Bar  llc,"7914 7528 amboy road, Staten Island, NY",1921-08-31T00:00:00.000,7528 amboy road,{9F7683A6-E1CE-49CD-8A07-DD2958995CA6},sidewalk,Don Cesar Restaurant bar llc,don cesar,81-5394765,48,6,288,,,,yes,no,no,,,no,,yes,6/24/2020,,,,,,,,,
5318,,,Staten Island,10301,ATLIXCO BAKERY & DELI,"10-12 ST PAULS AVENUE, Staten Island, NY",2020-10-12T00:00:00.000,ST PAULS AVENUE,{0406372E-A0E5-4CAE-8530-011D3348AAEC},sidewalk,ATLIXCO BAKERY & DELI INC,ATLIXCO BAKERY & DELI,41466245,20,16,320,,,,yes,no,yes,1307484,EB,no,,yes,6/25/2020,,,,,,,,,
6558,,,Staten Island,10303,Hook & Reel Cajun Seafood,"1756 1756 Forest Ave, Staten Island, NY",1904-10-21T00:00:00.000,1756 Forest Ave,{EFEC3EE3-50B1-41D4-8A2A-040B58C12B13},sidewalk,Cajun Restaurant Forest LLC,Cajun Restaurant Forest LLC,50097242,50,12,600,,,,yes,no,yes,1317965,OP,no,,yes,6/30/2020,,,,,,,,,
3282,Arden Heights,Arden Heights,Staten Island,10312,Villa Monte Pizzeria and Restaurant,"262 Arden Avenue, Staten Island, NY",1900-09-18T00:00:00.000,Arden Avenue,{77a1c058-d906-46e1-8c4f-533f340f6560},sidewalk,Villa Monte Di Positano Restaurant and Pizzeria Inc.,Villa Monte Di Positano Restaurant and Pizzeria Inc.,02-10080,6,26,156,,,,yes,no,yes,1043273,RW,no,,yes,6/22/2020,40.553084,-74.191733,503,51,17010,5107725,5060250035,,
175,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10309,Laila restaurant,"45  Page ave , Staten Island, NY",45,Page ave,47ecea96-5e73-49db-8f77-08a5ce917842,both,Laila restaurant & lounge inc,Laila restaurant & lounge inc,50086497,30,30,900,30,30,900,yes,yes,no,,,no,,yes,6/19/2020,40.522783,-74.234917,503,51,226,5127308,5075780050,,
364,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10307,W’s Bar and Restaurant LLC,"7001 C  Amboy Road, Staten Island, NY",7001 C,Amboy Road,81ebafa7-26aa-49a6-87ca-e7e4bf285f4c,roadway,W’s Bar and Reataurant LLC,W’s Bar and Reataurant LLC,50080247,,,,70,24,1680,no,yes,yes,1043168,OP,no,,yes,6/19/2020,40.51585,-74.233504,503,51,248,5088658,5080080014,,
399,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10312,Reggianos Brick Oven Pizza,"7001  Amboy Rd, Staten Island, NY",7001,Amboy Rd,f1ca1700-65db-4784-8dde-9f5378f0fc41,sidewalk,RBOP I LLC,Reggianos Brick Oven Pizza,41636059,100,10,1000,,,,yes,no,no,,,no,,yes,6/19/2020,40.51585,-74.233504,503,51,248,5088658,5080080014,,
633,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10309,z two restaurant,"2925  Veterans road west , Staten Island, NY",2925,Veterans road west,15df627d-6836-49f5-86d8-e0cddabaf414,both,Z two restaurant and lounge,Z two restaurant and lounge,41597047,40,40,1600,40,40,1600,yes,yes,yes,1272913,OP,no,,yes,6/19/2020,40.527704,-74.230963,503,51,226,5150129,5075110150,,
1748,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10309,Cabo,"96 Page Avenue , Staten Island, NY",96,Page Avenue,05068876-a269-4f2a-86c6-7aa2fc534640,both,Cabo Page Avenue Associates LLC,Cabo Page Avenue Associates LLC,50101601,46,20,920,46,20,920,yes,yes,yes,1328667,OP,no,,yes,6/19/2020,40.521899,-74.235025,503,51,226,5158669,5075800005,,
1769,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10309,ZioToto Restaurant,"86 page avenue, Staten Island, NY",86,page avenue,61a0e88b-f1a3-463b-8589-5643a7291147,both,Ziototo of staten island corp.,Ziototo of staten island corp.,41645548,40,22,880,40,22,880,yes,yes,yes,1258078,OP,no,,yes,6/19/2020,40.522066,-74.235011,503,51,226,5158670,5075800007,,
1963,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10307,Dani's Italian Bistro,"7331 Amboy Road, Staten Island, NY",7331,Amboy Road,5b6ab6e3-ecc9-45c4-80c3-46ee9d4a3f62,sidewalk,Dani's Italian Bistro Inc.,Dani's Italian Bistro,50000204,25,12,300,,,,yes,no,yes,1271755,OP,no,,yes,6/19/2020,40.511019,-74.241583,503,51,248,5089143,5080430015,,
2101,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10307,Towne Deli & Pizzeria,"5373 arthur kill road, Staten Island, NY",5373,arthur kill road,{9158e2a3-2939-411d-877f-0d63cb50fa52},sidewalk,Hinge of Staten Island Inc,Hinge of Staten Island Inc,4.05E+12,25,8,200,,,,yes,no,yes,1226526,RW,no,,yes,6/20/2020,40.513376,-74.248014,503,51,248,5088593,5079990024,,
2144,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10309,Page plaza diner,"75 Page avenue , Staten Island, NY",75,Page avenue,{09249aa1-4aee-4d44-81cf-dd4b69b1797f},both,Page plaza restaurant inc,Page plaza diner,41297788,100,6,600,30,30,900,yes,yes,yes,1224201,OP,no,,yes,6/20/2020,40.52233,-74.234962,503,51,226,5114091,5075780035,,
2302,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10307,Villa Monte Pizzeria & Restaurant,"7001  Amboy Road, Staten Island, NY",1919-03-02T00:00:00.000,Amboy Road,{8d3a1f1c-87ea-4f1b-8e6f-75d76ad120c7},sidewalk,Villa Monte Pizzeria &Restaurant,Villa Monte Pizzeria & Restaurant Inc.,13-3544722,12,26,312,,,,yes,no,yes,1043396,RW,no,,yes,6/20/2020,40.51585,-74.233504,503,51,248,5088658,5080080014,,
3198,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10307,E Squared Cafe,"240 Page Avenue, Staten Island, NY",1900-08-27T00:00:00.000,Page Avenue,{1ecb71d3-9ce7-49d3-8900-db96d4c04202},sidewalk,Gihan Tadoros,E Squared Cafe,04-08349,20,3,60,,,,yes,no,yes,1290633,TW,no,,yes,6/22/2020,40.518129,-74.234494,503,51,248,5141719,5080080134,,
3722,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10307,DeLuca's Italian Restaurant,"7324  Amboy Rd, Staten Island, NY",1920-01-19T00:00:00.000,Amboy Rd,{681dee9b-f9b1-417f-85b8-3d8555512959},both,7324 Amboy Rd LLC,7324 Amboy Rd LLC,50007663,40,20,800,40,8,320,yes,yes,yes,1275483,OP,no,,yes,6/22/2020,40.511126,-74.24132,503,51,24401,5087832,5078680016,,
4655,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10307,Mizu hibachi japanese fusion,"240 Page ave, Staten Island, NY",240,Page ave,{6E76AE0C-547E-4910-81CB-06DE75456845},both,Mizu Japanese Restaurant of SI INC,Mizu Japanese Restaurant of SI INC,50016861,29,9,261,29,8,232,yes,yes,yes,1284188,OP,no,,yes,6/23/2020,40.518129,-74.234494,503,51,248,5141719,5080080134,,
5549,Charleston-Richmond Valley-Tottenville,Charleston-Richmond Valley-Tottenville,Staten Island,10309,IL FORNO PIZZERIA,"6382 AMBOY ROAD, Staten Island, NY",1917-06-21T00:00:00.000,AMBOY ROAD,{994A142F-EFC2-425B-8BCA-281AEE77C6F4},sidewalk,IL FORNO PIZZERIA CORP,IL FORNO PIZZERIA CORP,50065009,12,17,204,,,,yes,no,no,,,no,,yes,6/25/2020,40.522108,-74.216829,503,51,226,5087258,5077020023,,
5417,Grasmere-Arrochar-Ft. Wadsworth,Grasmere-Arrochar-Ft. Wadsworth,Staten Island,10305,Terminal one,"323  Sand lane , Staten Island, NY",1900-11-18T00:00:00.000,Sand lane,{0739ED96-74C2-4FC0-812E-205405054F72},sidewalk,Terminal one rest corp,Terminal one rest corp,50015844,33,8,264,,,,yes,no,yes,1279120,OP,no,,yes,6/25/2020,40.591923,-74.067846,502,50,74,5135773,5031220016,,
573,Great Kills,Great Kills,Staten Island,10308,Giulianas,"4105 Hylan blvd, Staten Island, NY",4105,Hylan blvd,8de94d65-5638-4bed-84c9-783e2caad17c,sidewalk,Jpgiulianasinc.,Jpgiulianasinc.,26-0247426,30,10,300,,,,yes,no,yes,1194432,RW,no,,yes,6/19/2020,40.539729,-74.148197,503,51,15601,5067691,5052810032,,
1287,Great Kills,Great Kills,Staten Island,10312,Michael Anthony's Restaurant,"307  Nelson Avenue , Staten Island, NY",307,Nelson Avenue,572df5dd-2ae8-44fb-886c-ffcb0286981e,both,MCAM Restaurant LLC,Michael Anthony's,50055001,20,16,320,20,8,160,yes,yes,yes,1294562,OP,no,,yes,6/19/2020,40.542216,-74.14563,503,51,15603,5066207,5052080062,,
1774,Great Kills,Great Kills,Staten Island,10306,Emilio’s cucina,"150k Greaves lane, Staten Island, NY",150k,Greaves lane,fa0f3ffd-cacb-4de5-8981-e796bd971e24,both,Emilio’s cucina corp,Emilio’s cucina corp,50096960,10,17,170,32,20,640,yes,yes,yes,1324088,OP,no,,yes,6/19/2020,40.553514,-74.143506,503,51,14606,,,,
2188,Great Kills,Great Kills,Staten Island,10308,Doe's Place,"154 Mansion Ave, Staten Island, NY",1900-06-02T00:00:00.000,Mansion Ave,{bf7e914e-bc81-4c93-8783-4028b08c0e37},both,Doe's Place,Doe's Place,1234567890,24,3,72,12,2,24,yes,yes,yes,1234567890,HL,yes,yes,yes,6/20/2020,40.544308,-74.140907,503,51,15603,5066187,5052070039,,
2615,Great Kills,Great Kills,Staten Island,10308,Portobello cafe,"4221 Hylan blvd , Staten Island, NY",1911-07-22T00:00:00.000,Hylan blvd,{28c2ba96-ad2b-49d6-84d3-960ab7094d79},sidewalk,4221 Hylan Boulevard corp,Portobello cafe,40536591,50,16,800,,,,yes,no,yes,1043204,OP,no,,yes,6/20/2020,40.537189,-74.150616,503,51,15601,5067854,5052860044,,
2887,Great Kills,Great Kills,Staten Island,10312,Dove diner,"3281 Richmond ave, Staten Island, NY",1908-12-24T00:00:00.000,Richmond ave,{e2275800-5b9e-4299-8922-154cc0713583},both,C.M.E.M inc,Dove diner,40373118,100,30,3000,100,8,800,yes,yes,yes,1043260,OP,no,,yes,6/21/2020,40.55902,-74.169441,503,51,14607,5073736,5055330038,,
3211,Great Kills,Great Kills,Staten Island,10308,Mansion Grand Cafe,"141 Mansion Ave, Staten Island, NY",1900-05-20T00:00:00.000,Mansion Ave,{16f4eb38-679f-415f-8c60-af9ac8f7be26},both,Marina Grand Inc,Mansion Grand Cafe,40669474,40,10,400,40,10,400,yes,yes,yes,1043195,OP,no,,yes,6/22/2020,40.544646,-74.140533,503,51,15603,5066110,5052010033,,
3280,Great Kills,Great Kills,Staten Island,7002,Piccolino Restaurant,"3935  Amboy Road, Staten Island, NY",1910-10-09T00:00:00.000,Amboy Road,{0bc89dda-3ca7-4bff-8cc7-e2f74357ec66},both,Tolebar Inc.,Piccolino Restaurant,41627762,6,30,180,18,30,540,yes,yes,yes,1262068,OP,no,,yes,6/22/2020,40.551335,-74.149533,503,51,14605,5114220,5046240001,,
5082,Great Kills,Great Kills,Staten Island,10308,Flanagan’s Tavern,"3932  Amboy Road, Staten Island, NY",1910-10-06T00:00:00.000,Amboy Road,{0292D313-BD8F-4396-8703-5126BD0D34C9},sidewalk,E2 Squared Inc,Flanagan’s Tavern,50094371,20,10,200,,,,yes,no,yes,1269206,OP,no,,yes,6/24/2020,40.551415,-74.149385,503,51,13203,5065568,5051340003,,
2059,Grymes Hill-Clifton-Fox Hills,Grymes Hill-Clifton-Fox Hills,Staten Island,10301,Filled Cafe & Silogan,"400 Victory Blvd, Store D, Staten Island, NY",400,"Victory Blvd, Store D",{532b6b31-2f0b-4a50-8977-55cad3a93ecb},sidewalk,Filled Confections LLC,Filled Cafe & Silogan,Pending,19,6,114,,,,yes,no,no,,,no,,yes,6/20/2020,40.632665,-74.086785,501,49,33,5014814,5005790001,,
4323,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Staten Island,10303,Rinconcito Paisa,"1976 Forest Ave, Staten Island, NY",1976,Forest Ave,{E7DFBB2D-C159-4034-8481-E964E004A16B},sidewalk,Rinconcito Paisa Inc.,Rinconcito Paisa Inc.,41593751,60,12,720,,,,yes,no,yes,1254723,OP,no,,yes,6/23/2020,40.625805,-74.155082,501,49,30302,5113443,5016960026,,
4553,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Staten Island,10303,Joe Broadway's Billiards and Sports Pub,"2178 Forest Ave, Staten Island, NY",2178,Forest Ave,{41DD9798-C0F1-4FA5-8273-5AC946B7DBC4},sidewalk,CT SPORTSBAR INC,"Joe Broadways""s Billiards and Sports Pub",50078644,25,8,200,,,,yes,no,yes,1309262,OP,no,,yes,6/23/2020,40.626706,-74.162213,501,49,30302,5090355,5016850106,,
4602,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Staten Island,10303,papas chicken & grill,"1787  forest av, Staten Island, NY",1787,forest av,{3CB362A9-DA75-452E-8CC7-DC94884FFDFD},sidewalk,MR FOOD INC,PAPAS CHIKEN AND GRILL,41685208,40,6,240,,,,yes,no,no,,,no,,yes,6/23/2020,40.625078,-74.148394,501,49,239,5029209,5014770026,,
39,New Brighton-Silver Lake,New Brighton-Silver Lake,Staten Island,10301,Liberty Tavern,"382-384 forest ave, Staten Island, NY",382-384,forest ave,166a026e-6b3f-42c1-87f7-24fcc157da9b,both,Liberty Tavern LTD,Liberty Tavern LTD,50056843,32,7,224,36,8,288,yes,yes,yes,1284029,OP,no,,yes,6/19/2020,40.630989,-74.102119,501,49,59,5006935,5002520006,,
270,New Brighton-Silver Lake,New Brighton-Silver Lake,Staten Island,10310,vincents bagels inc,"500 henderson ave, Staten Island, NY",500,henderson ave,b19377a7-b9c8-4bd1-8b6b-1106b8b0f314,sidewalk,vincents bagels inc,vincents bagels inc,40594026,31,12,372,,,,yes,no,no,,,no,,yes,6/19/2020,40.63813,-74.109196,501,49,105,5003625,5001390005,,
315,New Brighton-Silver Lake,New Brighton-Silver Lake,Staten Island,10301,The Kettle Black,"415  Forest Ave , Staten Island, NY",415,Forest Ave,17c0d148-d260-4ce0-8830-1690e3be0b53,both,PPA Tavern Corp,PPA Tavern Corp,50070421,47,3,141,47,8,376,yes,yes,yes,1303838,OP,no,,yes,6/19/2020,40.630867,-74.103232,501,49,67,5003239,5001320004,,
377,New Brighton-Silver Lake,New Brighton-Silver Lake,Staten Island,10301,Ho’Brah,"412  Forest Ave , Staten Island, NY",412,Forest Ave,943c887e-475a-4fad-8d75-b876de829ffa,both,HBTJ Hospitality LLC,HBTJ Hospitality LLC,50034871,50,6,300,50,8,400,yes,yes,yes,1284523,OP,no,,yes,6/19/2020,40.630856,-74.103203,501,49,59,5106726,5002530006,,
620,New Brighton-Silver Lake,New Brighton-Silver Lake,Staten Island,10301,Jody's Club Forest,"372 Forest Ave, Staten Island, NY",372,Forest Ave,19d82f24-262e-4a57-805f-40add873de3c,sidewalk,415 Forest Rest INC,Jody's Club Forest,40369158,18,50,900,,,,yes,no,yes,1043452,OP,no,,yes,6/19/2020,40.631016,-74.101896,501,49,59,5169029,5002520009,,
2681,New Brighton-Silver Lake,New Brighton-Silver Lake,Staten Island,10310,burrito bar,"585 forest ave, Staten Island, NY",1901-08-07T00:00:00.000,forest ave,{6aab5511-50d4-4d39-8490-74fdbba09b5f},roadway,585 forest avenue restaurant corp,burrito bar,40547434,,,,43,8,344,no,yes,yes,1043254,OP,no,,yes,6/20/2020,40.63014,-74.108794,501,49,105,5004356,5001560048,,
3259,New Brighton-Silver Lake,New Brighton-Silver Lake,Staten Island,10310,Fab Cup,"605 Forest avenue , Staten Island, NY",1901-08-27T00:00:00.000,Forest avenue,{e16c0960-ae90-42a2-8ff9-fafab54c39b8},both,AIMCORP INC,FAB CUP,1922439,10,10,100,10,10,100,yes,yes,no,,,no,,yes,6/22/2020,40.63003,-74.109406,501,49,105,5004328,5001550153,,
3384,New Brighton-Silver Lake,New Brighton-Silver Lake,Staten Island,10301,Beans and leaves coffee and tea cafe,"422 Forest Avenue , Staten Island, NY",1901-02-25T00:00:00.000,Forest Avenue,{5a3210d5-905f-431a-8c56-05a65213b8c3},both,Beans and leaves coffee and tea cafe,Beans and leaves coffee and tea cafe,41656659,13,4,52,13,8,104,yes,yes,no,,,no,,yes,6/22/2020,40.630826,-74.103441,501,49,59,5006981,5002530001,,
3759,New Brighton-Silver Lake,New Brighton-Silver Lake,Staten Island,10310,Panini grill,"538  Forest ave , Staten Island, NY",1901-06-21T00:00:00.000,Forest ave,{09d00455-b6f4-45ec-8eab-489512e59523},both,Mac brothers ll llc,Mac brothers ll llc,50010629,36,6,216,36,6,216,yes,yes,yes,1277134,OP,no,,yes,6/22/2020,40.630239,-74.108153,501,49,121,5007425,5002760044,,
4899,New Brighton-Silver Lake,New Brighton-Silver Lake,Staten Island,10310,Nurnberger Bierhalle,"815 castleton ave,, Staten Island, NY",1902-03-25T00:00:00.000,"castleton ave,",{66A381A1-CEDD-41A8-843C-0D38B1258497},both,Bierhaus inc,Nurnberger Bierhalle,50006804,30,12,360,30,8,240,yes,yes,yes,1272777,OP,no,,yes,6/24/2020,40.634737,-74.109507,501,49,105,5106577,5001510074,,
4943,New Brighton-Silver Lake,New Brighton-Silver Lake,Staten Island,10310,Vivi Bubble tea,"532 b  Forest ave , Staten Island, NY",532 b,Forest ave,{D3F8A30A-DE5F-4326-8655-361579037DFB},sidewalk,D & D 668 INC,D & D 668 INC,50080644,13,6,78,,,,yes,no,no,,,no,,yes,6/24/2020,40.630275,-74.107951,501,49,121,,,,
481,New Dorp-Midland Beach,New Dorp-Midland Beach,Staten Island,10306,Bravo Pizza,"413 New Dorp Lane , Staten Island, NY",413,New Dorp Lane,acda29f2-4d28-474c-8b1b-f9c528165f71,sidewalk,LFL Enterprises Inc,LFL Enterprises Inc,50102975,50,15,750,,,,yes,no,yes,1320776,OP,no,,yes,6/19/2020,40.570177,-74.1092,502,50,11202,5055330,5039000001,,
613,New Dorp-Midland Beach,New Dorp-Midland Beach,Staten Island,10306,Cantina Mexicana Inc,"140 New Dorp Ln, Staten Island, NY",140,New Dorp Ln,c9bc5d69-6914-4f72-8286-e4afac31ca0a,sidewalk,Cantina Mexicana Inc,Cantina Mexicana Inc,41582708,35,10,350,,,,yes,no,yes,1253553,OP,no,,yes,6/19/2020,40.573741,-74.115926,502,50,134,5057396,5042090038,,
891,New Dorp-Midland Beach,New Dorp-Midland Beach,Staten Island,10306,Cafe Gourmand Inc,"549  Lincoln Ave, Staten Island, NY",549,Lincoln Ave,e5f15fb0-9d8d-44db-8102-e51466edd7b0,sidewalk,Cafe Gourmand Inc,Cafe Gourmand Inc,41628517,90,5,450,,,,yes,no,no,,,no,,yes,6/19/2020,40.572078,-74.095006,502,50,11202,,,,
914,New Dorp-Midland Beach,New Dorp-Midland Beach,Staten Island,10306,Mac's Public  House,"130 Lincoln Ave, Staten Island, NY",130,Lincoln Ave,d95cd960-061b-498a-8fb3-4701bd0c35c9,both,Mac's Pub LLC,Mac's Public House,1319077,30,4,120,30,6,180,yes,yes,yes,1319077,OP,no,,yes,6/19/2020,40.579065,-74.108113,502,50,122,5107537,5036030044,,
1105,New Dorp-Midland Beach,New Dorp-Midland Beach,Staten Island,10306,Inca Grill Peruvian Kitchen,"126 Lincoln Ave, Staten Island, NY",126,Lincoln Ave,5df55cff-b798-4afb-8580-ec1f8bc02bb3,both,Inca Grill Peruvian Kitchen Inc,Inca Grill Peruvian Kitchen,50056512,26,5,130,26,6,156,yes,yes,yes,1296936,OP,no,,yes,6/19/2020,40.579107,-74.108192,502,50,122,5051949,5036030043,,
1165,New Dorp-Midland Beach,New Dorp-Midland Beach,Staten Island,10306,Brioso Ristorante,"174  New Dorp Lane, Staten Island, NY",174,New Dorp Lane,e0bb84d8-5ff7-4ebc-8d82-66d37718fda5,sidewalk,Rapi Inc.,Rapi Inc.,40608702,122,10,1220,,,,yes,no,yes,1043148,OP,no,,yes,6/19/2020,40.573243,-74.114979,502,50,134,5127335,5042100001,,
1571,New Dorp-Midland Beach,New Dorp-Midland Beach,Staten Island,10306,Cafe Con Pan,"32 New Dorp Plaza, Staten Island, NY",32,New Dorp Plaza,b46d9586-fb2d-4c33-8a60-c9caaa6bf9f6,both,Cafe Con Pan Bakery Corp. III,Cafe Con Pan Bakery Corp. III,50035390,62,10,620,34,8,272,yes,yes,no,,,no,,yes,6/19/2020,40.573806,-74.116528,502,50,134,5057395,5042090034,,
2601,New Dorp-Midland Beach,New Dorp-Midland Beach,Staten Island,10306,Hylan Diner,"2561 Hylan Blvd, Staten Island, NY",1907-01-04T00:00:00.000,Hylan Blvd,{31860b8c-1d9b-40d2-8a2b-ba4c62f336ea},sidewalk,Hyland Diner Express,Hylan Diner,520297893,100,8,800,,,,yes,no,yes,1292559,OP,no,,yes,6/20/2020,40.569121,-74.111135,502,50,134,5104318,5042260044,,
2667,New Dorp-Midland Beach,New Dorp-Midland Beach,Staten Island,11306,Verrazano Grill restaurant,"628 Midland Avenue, Staten Island, NY",1901-09-19T00:00:00.000,Midland Avenue,{73be9fe9-c012-486d-89d1-21e4e7fdf5f7},sidewalk,Sabra Inc DBA Verrazano grill,Sabra Inc DBA Verrazano grill,50001566,18,16,288,,,,yes,no,no,,,no,,yes,6/20/2020,40.571318,-74.091291,502,50,11202,5134386,5038160026,,
2803,New Dorp-Midland Beach,New Dorp-Midland Beach,Staten Island,10306,SIPS + MAKER,"312 New Dorp Lane, Staten Island, NY",1900-11-07T00:00:00.000,New Dorp Lane,{896fcc5d-3163-4a2a-846a-81a2b6373624},sidewalk,SIPS + MAKER INC,SIPS + MAKER,50058554,14,10,140,,,,yes,no,no,,,no,,yes,6/21/2020,40.571774,-74.112219,502,50,134,5057565,5042190066,,
3068,New Dorp-Midland Beach,New Dorp-Midland Beach,Staten Island,10306,Piece A Cake,"177  New Dorp Lane, Staten Island, NY",1900-06-25T00:00:00.000,New Dorp Lane,{89496bc5-0edd-46d3-8934-1277fe9bc144},both,Piece A Cake LLC,Piece A Cake LLC,1425903,60,6,360,60,12,720,yes,yes,no,,,no,,yes,6/21/2020,40.573259,-74.114972,502,50,122,5052599,5036370023,,
3151,New Dorp-Midland Beach,New Dorp-Midland Beach,Staten Island,10306,How Greek It Is,"2224 Hylan Blvd, Staten Island, NY",1906-02-01T00:00:00.000,Hylan Blvd,{81007af0-b29f-4bac-8b87-3910e333c0c5},both,TMCD INC.,How Greek It Is,50041624,24,6,144,36,8,288,yes,yes,no,,,no,,yes,6/21/2020,40.57622,-74.103961,502,50,11202,5053579,5036970014,,
